tract,population,people per household,median income per household,mean income per household,income per capita,geometry
0005-D,7441,3.66,4023,,,"POLYGON ((-90.2947903414744 38.66183804618824, -90.28570501553344 38.66087195022105, -90.28522338430523 38.66400704203006, -90.28315199285956 38.66686813096461, -90.28988533562573 38.67050077217519, -90.29170786451429 38.66821051181862, -90.29273195804427 38.66689451654064, -90.29381685101573 38.66574129399988, -90.29460775026195 38.6647404749141, -90.29510381071246 38.66344185284824, -90.29607760065268 38.66286368870546, -90.29704333157555 38.66150160254366, -90.29670527843831 38.66002476473126, -90.29645005216386 38.65948631984647, -90.29600475691046 38.66033029171214, -90.29583282520524 38.66085980061601, -90.29545455695475 38.66137260409365, -90.2947903414744 38.66183804618824))"
0005-E,11121,3.48,3748,,,"POLYGON ((-90.28316564707933 38.66685934228877, -90.28521794438974 38.66400410854844, -90.28601690185637 38.65887996624766, -90.27834400744024 38.65812918453193, -90.27891223094055 38.65480275443853, -90.2731126804854 38.65421958164521, -90.27256042035894 38.6575694444134, -90.26982204475981 38.65731924548141, -90.26629045983775 38.65695651552915, -90.26570653022972 38.66024418951793, -90.27203666463974 38.66090631913913, -90.28316564707933 38.66685934228877))"
0006-A,10969,3.7,3608,,,"POLYGON ((-90.28986399612961 38.67049518254746, -90.27617370982178 38.66311152310385, -90.27242088146568 38.6682812578657, -90.28590967547235 38.67554635220861, -90.28680901577943 38.67461864436353, -90.28801308615893 38.67309126758229, -90.28872407930763 38.6721672084829, -90.2888541168374 38.67196465687583, -90.28911206762335 38.67136135589408, -90.28986399612961 38.67049518254746))"
0006-B,6573,3.6,4469,,,"POLYGON ((-90.28590734431579 38.67556197227754, -90.27939964550697 38.67205922681317, -90.27270114435829 38.68199601695179, -90.27124956171451 38.68600769079847, -90.27235542296846 38.68672086225651, -90.27520044857104 38.68915933562094, -90.28024019443907 38.68281437131027, -90.28172560477057 38.68105374987293, -90.2831837121619 38.67911251932381, -90.28330874300136 38.67885416977653, -90.28378106025576 38.67816868159499, -90.28443414998264 38.67755477036607, -90.28590734431579 38.67556197227754))"
0006-C,7833,3.41,4684,,,"POLYGON ((-90.27123744716073 38.68600316789846, -90.27266373552992 38.68202180184051, -90.27935960180758 38.67204654864187, -90.27564499143857 38.6700161551454, -90.27304792897631 38.67368533849554, -90.27037378976431 38.67249375941948, -90.26569373410518 38.67901451450308, -90.26377927929616 38.6816666338627, -90.26636833101044 38.6828518151907, -90.27123744716073 38.68600316789846))"
0006-D,6551,2.95,4564,,,"POLYGON ((-90.26377504410472 38.6816509825322, -90.26730237524521 38.67674174775597, -90.27035962660027 38.6724868426642, -90.26782415055538 38.67138727361059, -90.26604276313512 38.67380872372379, -90.2630183371767 38.67248730270884, -90.26293988198705 38.67258021191521, -90.25652861562797 38.6697588618547, -90.25456760524089 38.67240811908758, -90.25286652546058 38.67483837744458, -90.25181738056578 38.67633154252054, -90.25825639709451 38.67924878850052, -90.26377504410472 38.6816509825322))"
0006-E,8163,3.47,3970,,,"POLYGON ((-90.26293666349119 38.67257671697799, -90.26299847117961 38.67248909624863, -90.2660338928674 38.6737801980109, -90.26785053069486 38.67138393288164, -90.27303773475211 38.67366948971964, -90.27562244061511 38.67001165293877, -90.27241984734307 38.66827025672497, -90.26775160724313 38.66577724779309, -90.26491538020615 38.66423011503046, -90.26161380874483 38.66303628163986, -90.25846208385077 38.66722351255886, -90.25746534431997 38.66859214723612, -90.2565260648738 38.66975067923522, -90.26293666349119 38.67257671697799))"
0006-F,7531,3.44,3872,,,"POLYGON ((-90.2616142155719 38.66302365565941, -90.26494336559865 38.66422861745697, -90.27241559710723 38.66823853681471, -90.27614817918457 38.66310712344875, -90.2720393375409 38.66090840347417, -90.26211173735754 38.65990184234549, -90.25840034509781 38.659520873525, -90.25505967468263 38.658068992975, -90.25351769996999 38.66020124538557, -90.25530825098883 38.66092135158129, -90.25861014769842 38.66205854866942, -90.26149502244745 38.66304117100233, -90.26157233760175 38.66308079022982, -90.2616142155719 38.66302365565941))"
0006-G,8270,3.45,4146,,,"POLYGON ((-90.25181002940685 38.67632627127565, -90.25497028054151 38.67182909281858, -90.2564995529856 38.66975229736993, -90.25939194641086 38.66593750284143, -90.26156260406681 38.66308686341858, -90.2586019628135 38.6620690787315, -90.25526486616727 38.66091167727086, -90.25351666252902 38.66020527883578, -90.25180147762292 38.66260903197898, -90.24822510454955 38.66757068272378, -90.24425881125526 38.67307246463971, -90.25181002940685 38.67632627127565))"
0007-A,998,2.95,5643,,,"POLYGON ((-90.2467224554065 38.68562157912568, -90.24567763954289 38.68622486860365, -90.25730348300375 38.69119976413768, -90.2585133755217 38.6919220401772, -90.25932287229899 38.69269130978452, -90.25981185755833 38.69341996681833, -90.26021384207706 38.69426977899377, -90.26029154001159 38.69455858597986, -90.26034473176217 38.6950037113912, -90.26618757448242 38.69749652398232, -90.26809133582375 38.69829247423156, -90.27142144665251 38.69412780728427, -90.27145822417158 38.69402554311127, -90.27277725995826 38.69236072549727, -90.27392204365046 38.6907660604123, -90.27458841708358 38.68995649833132, -90.27522062522999 38.6891540986604, -90.27230497978879 38.6866772812232, -90.26613128409583 38.68273018879137, -90.25176159620153 38.67631835900439, -90.2480877825206 38.68176920773733, -90.24712070174577 38.68518751526923, -90.2467224554065 38.68562157912568))"
